ID,SpeciesCode,CommonName,Site,Indiv.pop.map,Latitude,Longitude,ID_ss,Units_clean,Use,Indiv.multiple,Indiv.sum,Country,RMU,Ocean,Region,FromLPI,FromMazaris,FromShaun,IsCountData,Source,Units,Sampling.method,Scaling,Count,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
148,CM,Green,Samandag beach,Samandag beach,36.08558392,35.93853974,Green Samandag beach,Nests,yes,0,1,Turkey,Mediterranean,,Asia,TRUE,TRUE,FALSE,TRUE,"Yƒ±lmaz, C., A. Oru√ß, and O. T√ºrkozan. 2015. Marine turtles (Chelonia mydas and Caretta caretta) nesting along the eastern Mediterranean coast of Turkey: results from siz years of surveying. Herpetological Journal 25:197-204.",Nests,,0.33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,124,NA,44,NA,NA,NA,NA,20,118,126,325,16,440,63,440,621,257,713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,CM,Green,West Coast,West Coast,34.95398923,32.29689619,Green West Coast,Nests,yes,0,1,Cyprus,Mediterranean,,Asia,FALSE,TRUE,FALSE,TRUE,"Demetropoulos A. & Hadjichristophorou M. (2010). Cyprus-Region B. In: Casale P. and Margaritoulis D., (editors). Sea turtles in the Mediterranean: Distribution, threats and conservation priorities. Gland. Switzerland, IUCN, p. 53.",Nests,,0.33,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,43,49,14,48,42,62,19,41,53,44,79,44,22,26,114,9,49,31,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,CM,Green,Israel,Israel,32.32313627,34.80009021,Green Israel,Nests,yes,0,1,Israel,Mediterranean,,Asia,FALSE,TRUE,FALSE,TRUE,"Levy Y. (2010). Israel. In: Casale P. and Margaritoulis D., (editors). Sea turtles in the Mediterranean: Distribution, threats and conservation priorities. Gland. Switzerland, IUCN, p. 113.",Nests,,0.33,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.80155642,1.40077821,2.80155642,0,0,0.700389105,0,0,8.404669261,2.101167315,0,2.101167315,13.307393,8.404669261,8.404669261,2.80155642,11.20622568,7.003891051,14.0077821,3.501945525,18.91050584,2.80155642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,CM,Green,Northern Cyprus,Northern Cyprus,35.64106326,34.30333279,Green Northern Cyprus,Nests,yes,0,1,Cyprus,Mediterranean,,Asia,FALSE,TRUE,FALSE,TRUE,"Stokes K.L., Fuller W.J., Glen F., Godley B.J., Hodgson D.J., Rhodes K.A., Snape R.T. & Broderick A.C. (2014). Detecting green shoots of recovery: the importance of long‐term individual‐based monitoring of marine turtles. Animal Conservation, 17, 593-602.",Clutches,,0.33,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,186,135,34,68,171,62,193,55,65,63,173,34,145,43,117,164,118,236,193,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,CM,Green,All Bonaire & Klein Bonaire,All Bonaire & Klein Bonaire,12.13543969,-68.31769135,Green All Bonaire & Klein Bonaire,Nests,yes,0,1,Netherlands Antilles,North Atlantic,,Latin America and Caribbean,FALSE,TRUE,FALSE,TRUE,"Nava M. (2013). Research and Monitoring Report 2012 - Sea Turtle Conservation Bonaire. Sea turtle conservation Bonaire, p. 49.",Nests,,0.33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,12,8,18,0,17,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,CM,Green,"Boca Raton beaches, Palm Beach County","Boca Raton beaches, Palm Beach County",26.44547368,-80.05725322,"Green Boca Raton beaches, Palm Beach County",Nests,yes,0,1,United States,North Atlantic,,North America,FALSE,TRUE,FALSE,TRUE,https://www.myboca.us/2140/Sea-Turtle-Nesting-Totals,Nests,,0.33,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,31,11,43,18,61,12,82,12,89,12,124,10,120,40,66,115,68,142,90,67,131,154,116,331,75,298,38,300,19,393,132,190,NA,NA
107,CM,Green,Broward County,Broward County,26.13922896,-80.08803111,Green Broward County,Nests,yes,0,1,United States,North Atlantic,,North America,FALSE,TRUE,FALSE,TRUE,https://hcas.nova.edu/seaturtles/documents/tech-reports/techreport_2020.pdf,Nests,,0.33,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,35,35,18,53,12,56,35,20,105,9,131,23,120,50,111,28,199,23,112,19,177,73,153,209,140,232,272,70,234,260,209,494,133,462,136,665,136,788,276,NA,NA,NA
110,CM,Green,Campeche,Campeche,20.02626448,-90.53081398,Green Campeche,Nests,yes,0,1,Mexico,North Atlantic,,Latin America and Caribbean,FALSE,TRUE,FALSE,TRUE,"Gonzalez-Garza B.I., Alvarado P.G., Villalobos-Sosa M., Cuevas E., Contreras G.G., Guzman-Hernandez V. & P. H.-R. (2011). Identifying critical nesting grounds in Campeche Mexico. Annual Meeting of Wider Caribbean Sea Turtle Conservation Network (WIDECAST). San Diego, California, USA.",Nests,,0.33,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309,226,341,75,505,90,801,171,534,716,632,1062,1856,845,3592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,CM,Green,Casey Key,Casey Key,27.15181195,-82.48462934,Green Casey Key,Nests,yes,0,1,United States,North Atlantic,,North America,FALSE,TRUE,FALSE,TRUE,https://mote.org/news/environment-updates#SeaTurtleNestingUpdates,Nests,,0.33,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,10,NA,7,8,3,5,NA,NA,29,10,54,NA,135,NA,74,NA,NA
115,CM,Green,"Canaveral National Seashore, Central Florida","Canaveral National Seashore, Central Florida",28.82127843,-80.74196126,"Green Canaveral National Seashore, Central Florida",Nests,yes,0,1,United States,North Atlantic,,North America,TRUE,FALSE,FALSE,TRUE,"Antworth, R. L., D. A. Pike, et al. (2006). Nesting ecology  current status  and conservation of sea turtles on an uninhabited beach in Florida  USA."" Biological Conservation 130(1): 10-15.""",Nests,,0.33,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,100,40,30,180,20,300,20,380,60,220,20,410,10,700,5,900,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,CM,Green,"The Archie Carr National Wildlife Refuge, Florida","The Archie Carr National Wildlife Refuge, Florida",27.95966727,-80.50222255,"Green The Archie Carr National Wildlife Refuge, Florida",Nests,yes,0,1,United States,North Atlantic,,North America,TRUE,FALSE,FALSE,TRUE,"Chaloupka, M., K. A. Bjorndal, et al. (2008). Encouraging outlook for recovery of a once severely exploited megaherbivore."" Global Ecology and Biogeography 17(2): 297-304.""",Nests,,0.33,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,41,287,77,212,88,174,494,149,703,86,1133,85,811,121,1685,21,2448,45,2657,562,943,3160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,CM,Green,Guanal,Guanal,22.19629234,-83.38196957,Green Guanal,Nests,yes,0,1,Cuba,North Atlantic,,Latin America and Caribbean,FALSE,TRUE,FALSE,TRUE,"J.A. Seminoff, C.D. Allen, G.H. Balazs, P.H. Dutton, T. Eguchi, H.L. Haas, S.A. Hargrove, M.P. Jensen, D.L. Klemm, A.M. Lauritsen, S.L. MacPherson, P. Opay, E.E. Possardt, S.L. Pultz, E.E. Seney, K.S. Van Houtan, R.S. Waples. Status Review of the Green Turtle (Chelonia mydas) Under the U.S. Endangered Species Act. NOAA Technical Memorandum, NOAANMFS-SWFSC-539. 571pp (2015).",Nests,,0.33,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,2,74,25,196,84,39,52,129,112,260,36,248,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,CM,Green,Little Cayman,Little Cayman,19.6806774,-80.01495721,Green Little Cayman,Nests,yes,0,1,Cayman Islands,North Atlantic,,Latin America and Caribbean,TRUE,FALSE,FALSE,TRUE,"Bell, C. D., J. L. Solomon, et al. (2007). Monitoring and conservation of critically reduced marine turtle nesting populations: lessons from the Cayman Islands."" Animal Conservation 10: 39-47.""",Clutches,,0.33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,3,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,CM,Green,Grand Cayman,Grand Cayman,19.37120156,-81.4257227,Green Grand Cayman,Nests,yes,0,1,Cayman Islands,North Atlantic,,Latin America and Caribbean,TRUE,FALSE,FALSE,TRUE,"Bell, C. D., J. L. Solomon, et al. (2007). Monitoring and conservation of critically reduced marine turtle nesting populations: lessons from the Cayman Islands."" Animal Conservation 10: 39-47.""",Nests,,0.33,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,2,43,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
